epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3996,0.47352,4.02305,1.36958,0.00524,0.5641,0.00633,0.00199,0.65272,4.98998,1.89291,0.0678462,0.000324786,0.000324786
2,24.9968,0.45253,3.13881,1.31629,0.12843,0.07692,0.05485,0.01353,0.56826,4.1476,1.70254,0.0348356,0.00064759,0.00064759
3,36.3886,0.43079,2.81066,1.25233,0.09678,0.17949,0.05101,0.01827,0.51362,4.49535,1.61184,0.00181443,0.000959726,0.000959726
4,47.488,0.41999,2.5815,1.21625,0.12643,0.15385,0.04654,0.01498,0.54738,4.66222,1.57172,0.000952,0.000952,0.000952
5,58.6543,0.40647,2.45178,1.18974,0.1825,0.35897,0.13847,0.05539,0.48314,6.29162,1.44755,0.000936,0.000936,0.000936
6,70.1605,0.40001,2.30249,1.16418,0.15279,0.33333,0.13088,0.06398,0.46929,4.18206,1.44206,0.00092,0.00092,0.00092
7,83.1213,0.3909,2.14427,1.13959,0.11251,0.25357,0.08169,0.03496,0.49362,4.40458,1.4863,0.000904,0.000904,0.000904
8,95.8236,0.38293,2.03807,1.11182,0.1432,0.15385,0.05674,0.02341,0.52235,4.57304,1.68649,0.000888,0.000888,0.000888
9,107.214,0.37081,1.90859,1.08539,0.12715,0.23077,0.09325,0.03527,0.48125,4.14691,1.5385,0.000872,0.000872,0.000872
10,118.327,0.37074,1.88839,1.09,0.30081,0.28205,0.16398,0.06889,0.48001,4.26068,1.53525,0.000856,0.000856,0.000856
11,129.403,0.36231,1.81261,1.06957,0.11143,0.17949,0.04807,0.01935,0.51571,5.14017,1.69128,0.00084,0.00084,0.00084
12,143.154,0.35243,1.69494,1.03959,0.1992,0.23608,0.08757,0.02847,0.55102,4.5719,1.75582,0.000824,0.000824,0.000824
13,155.061,0.34725,1.61034,1.0266,0.13184,0.30769,0.13809,0.08025,0.50577,4.2551,1.5423,0.000808,0.000808,0.000808
14,166.15,0.34204,1.52711,1.01438,0.16511,0.07692,0.09173,0.03937,0.54672,4.75454,1.67549,0.000792,0.000792,0.000792
15,177.403,0.32718,1.4817,0.99836,0.25744,0.17949,0.12998,0.06269,0.48055,4.38382,1.56978,0.000776,0.000776,0.000776
16,189.281,0.33307,1.47317,0.99689,0.31472,0.25641,0.16892,0.07334,0.51192,3.95042,1.65354,0.00076,0.00076,0.00076
17,201.079,0.32261,1.40835,0.97401,0.18339,0.35897,0.14409,0.07761,0.47655,4.09434,1.46082,0.000744,0.000744,0.000744
18,213.015,0.31984,1.35944,0.96147,0.4089,0.15385,0.13414,0.06738,0.51658,4.8,1.62537,0.000728,0.000728,0.000728
19,224.124,0.31597,1.36014,0.96443,0.28805,0.20513,0.13727,0.06237,0.52509,4.4109,1.73862,0.000712,0.000712,0.000712
20,235.291,0.30742,1.30028,0.95078,0.2218,0.30769,0.13901,0.05937,0.53733,4.36066,1.7739,0.000696,0.000696,0.000696
21,247.311,0.3013,1.27617,0.93631,0.3062,0.20513,0.15834,0.07914,0.51099,4.43265,1.65369,0.00068,0.00068,0.00068
22,259.628,0.29453,1.23636,0.91723,0.13801,0.20513,0.07109,0.04066,0.54837,4.79827,1.75331,0.000664,0.000664,0.000664
23,271.781,0.28827,1.20451,0.9115,0.24442,0.12821,0.07073,0.03333,0.57794,4.73382,1.74733,0.000648,0.000648,0.000648
24,283.871,0.29322,1.19074,0.9162,0.24982,0.23077,0.09521,0.04118,0.56996,4.63892,1.76183,0.000632,0.000632,0.000632
25,295.258,0.2875,1.16508,0.90183,0.35734,0.17949,0.12935,0.06105,0.50147,4.40662,1.57532,0.000616,0.000616,0.000616
26,306.417,0.28174,1.18021,0.90524,0.27313,0.25641,0.14116,0.07734,0.45976,4.17883,1.55841,0.0006,0.0006,0.0006
27,318.704,0.28181,1.15183,0.90149,0.17479,0.15385,0.11796,0.06516,0.51431,5.22004,1.66189,0.000584,0.000584,0.000584
28,330.608,0.27338,1.10568,0.87834,0.28487,0.25641,0.15747,0.07755,0.5063,4.24963,1.70286,0.000568,0.000568,0.000568
29,342.974,0.26325,1.05978,0.86768,0.26336,0.23077,0.14825,0.08568,0.49133,4.41366,1.63889,0.000552,0.000552,0.000552
30,354.448,0.26128,1.03759,0.86864,0.16113,0.28205,0.12024,0.06695,0.49743,4.74272,1.66022,0.000536,0.000536,0.000536
31,366.124,0.2581,1.04157,0.86185,0.23499,0.20513,0.13786,0.08172,0.49482,4.80624,1.65085,0.00052,0.00052,0.00052
32,377.606,0.25545,1.01994,0.85739,0.24342,0.27238,0.14757,0.08042,0.48954,4.96053,1.58088,0.000504,0.000504,0.000504
33,388.892,0.25291,0.99559,0.84854,0.3122,0.28205,0.14942,0.07151,0.53336,4.59004,1.81532,0.000488,0.000488,0.000488
34,400.446,0.2514,0.98912,0.84364,0.20893,0.28205,0.09831,0.05481,0.51693,4.88675,1.73754,0.000472,0.000472,0.000472
35,411.88,0.24761,0.97718,0.83694,0.13436,0.33333,0.10535,0.0522,0.52517,4.60262,1.79449,0.000456,0.000456,0.000456
36,423.035,0.2447,0.95975,0.83731,0.28028,0.12821,0.12599,0.06784,0.51274,4.80603,1.67312,0.00044,0.00044,0.00044
37,435.062,0.23931,0.93732,0.83012,0.171,0.30769,0.12215,0.05788,0.52611,4.45862,1.74675,0.000424,0.000424,0.000424
38,446.339,0.23643,0.91743,0.82382,0.14377,0.25641,0.12414,0.07755,0.52939,5.27871,1.68962,0.000408,0.000408,0.000408
39,458.762,0.23248,0.91368,0.8187,0.20529,0.34453,0.12863,0.06987,0.5232,4.63161,1.68645,0.000392,0.000392,0.000392
40,471.248,0.2291,0.88532,0.81489,0.2755,0.28205,0.17717,0.0797,0.51966,4.94114,1.73653,0.000376,0.000376,0.000376
41,483.654,0.2279,0.84901,0.81219,0.19146,0.20513,0.14751,0.07899,0.52226,4.86066,1.65274,0.00036,0.00036,0.00036
42,494.835,0.21722,0.80388,0.79476,0.31726,0.20513,0.13109,0.06422,0.52078,4.90588,1.6257,0.000344,0.000344,0.000344
43,506.878,0.21492,0.78492,0.79378,0.27106,0.28205,0.1377,0.05977,0.54787,4.70106,1.76325,0.000328,0.000328,0.000328
44,518.155,0.20881,0.76603,0.78726,0.22851,0.26595,0.15219,0.08894,0.50362,5.02847,1.56612,0.000312,0.000312,0.000312
45,530.206,0.20104,0.74089,0.77287,0.24196,0.28205,0.13126,0.06676,0.53416,5.28387,1.68428,0.000296,0.000296,0.000296
46,542.85,0.19622,0.72285,0.76702,0.2645,0.28205,0.15442,0.08379,0.52572,4.94593,1.72016,0.00028,0.00028,0.00028
47,554.859,0.1919,0.71483,0.76201,0.30812,0.17949,0.15544,0.07898,0.55298,4.54996,1.8483,0.000264,0.000264,0.000264
48,566.851,0.18369,0.68829,0.74943,0.2813,0.20513,0.15214,0.06534,0.55314,5.05377,1.76372,0.000248,0.000248,0.000248
49,577.901,0.18069,0.67328,0.74429,0.30126,0.26549,0.17059,0.07707,0.53106,4.97808,1.72602,0.000232,0.000232,0.000232
50,588.939,0.18246,0.67497,0.74848,0.31805,0.28205,0.16092,0.08942,0.5191,5.01135,1.78685,0.000216,0.000216,0.000216
