epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,459.926,0.91102,0.6562,0.98344,0.23456,0.20513,0.08356,0.02822,2.51341,3.44963,2.42938,0.000632,0.000632,0.000632
40,473.045,0.90038,0.63418,0.97971,0.17097,0.25641,0.07673,0.03105,2.45659,3.40911,2.3511,0.000596,0.000596,0.000596
41,486.6,0.86217,0.60843,0.96296,0.16281,0.17949,0.05685,0.02106,2.61811,3.47385,2.59358,0.00056,0.00056,0.00056
42,497.96,0.81159,0.5685,0.94835,0.16085,0.28205,0.07878,0.03053,2.58125,3.61614,2.44875,0.000524,0.000524,0.000524
43,510.412,0.80914,0.55998,0.94758,0.16191,0.28205,0.10129,0.03924,2.63072,3.56722,2.58725,0.000488,0.000488,0.000488
44,521.634,0.79928,0.5372,0.93898,0.18045,0.25976,0.1087,0.04152,2.72682,3.38979,2.65297,0.000452,0.000452,0.000452
45,532.786,0.75946,0.51757,0.91941,0.19913,0.25641,0.10025,0.04585,2.47019,3.50967,2.39472,0.000416,0.000416,0.000416
46,544.115,0.74214,0.5084,0.91957,0.19433,0.23077,0.08438,0.0357,2.54403,3.67272,2.49138,0.00038,0.00038,0.00038
47,555.451,0.73151,0.50565,0.91433,0.20131,0.20513,0.08392,0.03505,2.54073,3.74758,2.46354,0.000344,0.000344,0.000344
48,568.124,0.70386,0.48745,0.90281,0.22725,0.20513,0.0943,0.04064,2.42739,3.75407,2.40529,0.000308,0.000308,0.000308
49,581.664,0.67942,0.47295,0.89715,0.2571,0.23077,0.10042,0.04046,2.49001,3.85869,2.53243,0.000272,0.000272,0.000272
50,595.344,0.69416,0.47249,0.90502,0.24273,0.23077,0.09239,0.0371,2.45941,3.85182,2.47003,0.000236,0.000236,0.000236
