epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1729,2.07197,3.04302,1.65105,0.05678,0.23077,0.04667,0.01729,2.15367,3.14431,1.81878,0.000649573,0.000649573,0.000649573
2,24.7342,1.98539,2.38523,1.5942,0.19304,0.20513,0.09364,0.05289,2.34125,3.22212,2.25939,0.00129255,0.00129255,0.00129255
3,35.9618,1.97665,2.27008,1.60058,0.08769,0.05128,0.01865,0.00606,2.56843,4.30417,2.50285,0.00191152,0.00191152,0.00191152
4,47.4058,1.90845,2.12539,1.57318,0.11185,0.15385,0.04049,0.01118,2.39081,4.51126,2.04365,0.001892,0.001892,0.001892
5,58.4734,1.83562,2.00118,1.52892,0.07046,0.12821,0.03165,0.01145,2.26867,6.15871,2.08584,0.001856,0.001856,0.001856
6,69.5787,1.81824,1.9401,1.50671,0.11951,0.30769,0.08617,0.02975,2.34871,4.92511,2.08884,0.00182,0.00182,0.00182
7,80.8274,1.74439,1.7853,1.45454,0.16994,0.20513,0.08364,0.03633,2.13435,3.64045,1.91728,0.001784,0.001784,0.001784
8,92.7924,1.69128,1.69609,1.42152,0.20679,0.23077,0.11946,0.05063,1.94388,3.49539,1.77291,0.001748,0.001748,0.001748
9,105.853,1.65855,1.62878,1.39309,0.13122,0.2944,0.09792,0.03562,2.26542,3.55553,1.98683,0.001712,0.001712,0.001712
10,117.628,1.62989,1.55715,1.36333,0.18983,0.12821,0.1093,0.04035,2.41716,3.29391,2.23973,0.001676,0.001676,0.001676
11,128.854,1.58071,1.49413,1.33633,0.13768,0.15976,0.08239,0.03456,2.4282,3.25204,2.24112,0.00164,0.00164,0.00164
12,140.011,1.549,1.39216,1.3022,0.21917,0.35897,0.13155,0.05409,2.18513,2.9184,2.06756,0.001604,0.001604,0.001604
13,152.66,1.50537,1.34427,1.29084,0.18002,0.4359,0.11863,0.04752,2.16242,3.16575,1.86018,0.001568,0.001568,0.001568
14,164.079,1.4703,1.29904,1.26803,0.2321,0.28205,0.1146,0.04363,2.24244,2.91413,2.08386,0.001532,0.001532,0.001532
15,175.425,1.42787,1.22019,1.24424,0.19791,0.07692,0.05409,0.02663,2.35205,3.39014,2.19085,0.001496,0.001496,0.001496
16,188.329,1.41263,1.18723,1.2306,0.10536,0.15385,0.08874,0.01954,2.69296,3.66275,2.36417,0.00146,0.00146,0.00146
17,199.462,1.3723,1.13009,1.21078,0.17212,0.28205,0.08356,0.04459,2.12976,3.22313,1.92868,0.001424,0.001424,0.001424
18,210.837,1.363,1.0862,1.19633,0.18902,0.15385,0.09345,0.03751,2.23387,3.15271,1.97096,0.001388,0.001388,0.001388
19,222.464,1.31509,1.06973,1.18027,0.20979,0.30769,0.12316,0.06382,2.30053,2.98147,2.18047,0.001352,0.001352,0.001352
20,233.674,1.29412,1.01767,1.16331,0.20884,0.25641,0.12835,0.05674,2.21202,3.12776,2.06085,0.001316,0.001316,0.001316
21,244.932,1.25327,0.98546,1.14312,0.20738,0.35897,0.12273,0.0524,2.27357,3.09773,1.96309,0.00128,0.00128,0.00128
22,257.69,1.23209,0.93988,1.12456,0.18697,0.15385,0.06286,0.02099,2.39948,3.5798,2.14085,0.001244,0.001244,0.001244
23,270.527,1.20622,0.91891,1.11693,0.19802,0.35897,0.10314,0.03958,2.46677,3.24449,2.21603,0.001208,0.001208,0.001208
24,281.868,1.20357,0.89352,1.10617,0.2053,0.25641,0.1124,0.04079,2.47307,3.01773,2.30311,0.001172,0.001172,0.001172
25,293.11,1.15941,0.85241,1.08489,0.18126,0.30769,0.09688,0.04077,2.3872,3.25118,2.23745,0.001136,0.001136,0.001136
26,305.249,1.15477,0.86847,1.09391,0.1957,0.30769,0.11414,0.05159,2.32851,3.26396,2.30486,0.0011,0.0011,0.0011
27,316.585,1.13078,0.85107,1.07922,0.19296,0.20513,0.09277,0.04571,2.40423,3.48304,2.17697,0.001064,0.001064,0.001064
28,328.118,1.10324,0.82475,1.0637,0.19785,0.23077,0.08276,0.03058,2.45947,3.53649,2.30944,0.001028,0.001028,0.001028
29,340.277,1.07022,0.80165,1.05406,0.20302,0.27443,0.12882,0.03803,2.60341,3.44942,2.5896,0.000992,0.000992,0.000992
30,351.623,1.05087,0.76599,1.04284,0.16099,0.28205,0.11002,0.05034,2.51806,3.31128,2.33674,0.000956,0.000956,0.000956
31,364.108,1.06377,0.77027,1.05253,0.20612,0.15385,0.09379,0.04184,2.43352,3.12035,2.41272,0.00092,0.00092,0.00092
32,375.589,1.02801,0.75075,1.03535,0.18466,0.25641,0.0795,0.03064,2.42242,3.64445,2.30736,0.000884,0.000884,0.000884
33,386.871,1.00146,0.73062,1.01927,0.12556,0.20513,0.07261,0.02977,2.75088,3.47413,2.7171,0.000848,0.000848,0.000848
34,398.441,0.99312,0.72966,1.01816,0.16684,0.15385,0.08688,0.03749,2.52557,3.72901,2.53167,0.000812,0.000812,0.000812
35,409.906,0.96433,0.69896,0.99869,0.14157,0.20513,0.07387,0.03384,2.42286,3.6199,2.31601,0.000776,0.000776,0.000776
36,421.191,0.98039,0.69384,1.00826,0.2247,0.19341,0.0868,0.02633,2.49232,3.71956,2.34352,0.00074,0.00074,0.00074
37,433.135,0.96363,0.68379,1.0085,0.21108,0.17949,0.11294,0.04234,2.51591,3.40612,2.4411,0.000704,0.000704,0.000704
38,445.824,0.93431,0.66766,0.99636,0.2316,0.23077,0.09837,0.0289,2.68236,3.42062,2.67291,0.000668,0.000668,0.000668
