epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9334,2.19968,3.56282,1.78099,0.00571,0.61538,0.04697,0.01636,2.44169,3.48679,1.86162,0.00044,0.00044,0.00044
2,24.3978,2.12328,3.06215,1.6365,0.00595,0.64103,0.02429,0.00555,2.50497,3.54312,2.08374,0.0008838,0.0008838,0.0008838
3,33.7484,2.0327,2.78779,1.62624,0.0163,0.15385,0.01229,0.00522,2.78421,3.62667,2.66257,0.00131104,0.00131104,0.00131104
4,43.327,2.06483,2.74486,1.65575,0.03455,0.07692,0.00901,0.00312,2.52537,4.07052,2.65601,0.00172172,0.00172172,0.00172172
5,54.5568,2.04617,2.69329,1.63397,0.11955,0.15385,0.0505,0.01674,2.5557,4.00891,2.73139,0.001856,0.001856,0.001856
6,64.4651,1.95784,2.58971,1.64646,0.19777,0.07692,0.06543,0.03093,2.22864,3.76759,2.5001,0.00182,0.00182,0.00182
7,75.2527,1.97289,2.57779,1.68341,0.28636,0.10256,0.07511,0.02408,2.44332,3.35487,2.5135,0.001784,0.001784,0.001784
8,84.518,1.9448,2.65772,1.66251,0.10484,0.10256,0.04198,0.01756,2.56793,3.62802,2.46283,0.001748,0.001748,0.001748
9,94.6205,1.90751,2.41631,1.59119,0.06883,0.20513,0.03967,0.0152,2.46256,4.77172,2.1958,0.001712,0.001712,0.001712
10,104.15,1.91217,2.35327,1.58902,0.07683,0.17949,0.06068,0.02354,2.21658,3.55928,2.0289,0.001676,0.001676,0.001676
11,113.08,1.84923,2.22226,1.53552,0.2445,0.05128,0.04919,0.01854,2.43039,3.56892,2.19995,0.00164,0.00164,0.00164
