epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4579,2.09851,3.06821,1.68309,0.00908,0.58974,0.06302,0.02392,2.0492,3.29682,1.72315,0.000649573,0.000649573,0.000649573
2,36.683,1.96948,2.37188,1.5711,0.08954,0.17949,0.06396,0.0247,2.56461,3.55452,2.52753,0.00129255,0.00129255,0.00129255
3,51.9966,1.94028,2.27688,1.57735,0.0923,0.12821,0.04895,0.01808,2.50777,3.88137,2.62738,0.00191152,0.00191152,0.00191152
4,68.6565,1.88766,2.11214,1.52994,0.17321,0.23077,0.10062,0.0522,2.31271,4.05518,2.19235,0.001892,0.001892,0.001892
5,83.4635,1.82523,2.01758,1.49673,0.01789,0.58974,0.0138,0.00561,2.16124,6.23882,1.95413,0.001856,0.001856,0.001856
